Numéro;Type de Ligne;Niveau;Texte;Quantité;Montant
452;4;0;"Avoir Ticket";6,00;59,35 €
453;4;0;"Modification Note";44,00;513,35 €
454;0;0;"";0,00;0,00 €
455;1;0;"ENTREES FOIE GRAS LAYON TVA_C";0,00;0,00 €
456;1;1;"BLOC FOIE GRAS";0,00;0,00 €
457;2;1;"Total Net";31,00;260,61 €
458;2;1;"Total Brut";31,00;261,80 €
459;2;1;" dont Ventes";21,00;260,61 €
460;2;1;" dont Menus";9,00;0,00 €
461;2;1;" dont Remises";1,00;1,19 €
462;2;1;"Total Annulations";1,00;11,90 €
463;2;1;"Total Perte";1,00;0,00 €
464;2;1;"Total Avoir Ticket";3,00;11,90 €
465;2;1;"Total Modification Note";7,00;59,50 €
466;0;0;"";0,00;0,00 €
467;1;1;"BLOC FOIE GRAS M";0,00;0,00 €
468;2;1;"Total Net";17,00;64,60 €
469;2;1;" dont Menus";17,00;64,60 €
470;2;1;"Total Perte";1,00;3,80 €
471;2;1;"Total Modification Note";1,00;3,80 €
472;0;0;"";0,00;0,00 €
473;4;0;"Net ENTREES FOIE GRAS LAYON TVA_C";48,00;325,21 €
474;4;0;"Brut ENTREES FOIE GRAS LAYON TVA_C";48,00;326,40 €
475;4;0;" dont Ventes";21,00;260,61 €
476;4;0;" dont Menus";26,00;64,60 €
477;4;0;" dont Remises";1,00;1,19 €
478;4;0;"Annulations";1,00;11,90 €
479;4;0;"Perte";2,00;3,80 €
480;4;0;"Avoir Ticket";3,00;11,90 €
481;4;0;"Modification Note";8,00;63,30 €
482;0;0;"";0,00;0,00 €
483;1;0;"GLACES";0,00;0,00 €
484;1;1;"CORNET 1 BOULE";0,00;0,00 €
485;2;1;"Total Net";3,00;0,00 €
486;2;1;" dont Menus";3,00;0,00 €
487;0;0;"";0,00;0,00 €
488;1;1;"CPE CAFE LIEGEOIS M";0,00;0,00 €
489;2;1;"Total Net";1,00;2,90 €
490;2;1;" dont Menus";1,00;2,90 €
491;0;0;"";0,00;0,00 €
492;1;1;"CPE CARAMEL LIEGEOIS M";0,00;0,00 €
493;2;1;"Total Net";2,00;5,80 €
494;2;1;" dont Menus";2,00;5,80 €
495;0;0;"";0,00;0,00 €
496;1;1;"CPE CHOCO LIEGEOIS M";0,00;0,00 €
497;2;1;"Total Net";1,00;2,90 €
498;2;1;" dont Menus";1,00;2,90 €
499;0;0;"";0,00;0,00 €
500;1;1;"CPE FRUITS RGE LIEGEOIS M";0,00;0,00 €
501;2;1;"Total Net";1,00;2,90 €
502;2;1;" dont Menus";1,00;2,90 €
503;0;0;"";0,00;0,00 €
504;1;1;"CPE PECHE MELBA M";0,00;0,00 €
505;2;1;"Total Net";1,00;2,90 €
506;2;1;" dont Menus";1,00;2,90 €
507;0;0;"";0,00;0,00 €
508;1;1;"SUPP BOULE VANILLE";0,00;0,00 €
509;2;1;"Total Net";2,00;3,00 €
510;2;1;" dont Ventes";2,00;3,00 €
511;0;0;"";0,00;0,00 €
512;1;1;"SUPP CHANTILLY";0,00;0,00 €
513;2;1;"Total Net";7,00;0,00 €
514;2;1;" dont Ventes";7,00;0,00 €
515;0;0;"";0,00;0,00 €
516;4;0;"Net GLACES";18,00;20,40 €
517;4;0;" dont Ventes";9,00;3,00 €
518;4;0;" dont Menus";9,00;17,40 €
519;0;0;"";0,00;0,00 €
520;1;0;"MENU VAE TVA_C";0,00;0,00 €
521;1;1;"FORMULE CLASSIQUES BURGERS VAE";0,00;0,00 €
522;2;1;"Total Net";1,00;15,90 €
523;2;1;" dont Ventes";1,00;15,90 €
524;2;1;"Total Erreur de saisie";2,00;31,80 €
525;0;0;"";0,00;0,00 €
526;4;0;"Net MENU VAE TVA_C";1,00;15,90 €
527;4;0;" dont Ventes";1,00;15,90 €
528;4;0;"Erreur de saisie";2,00;31,80 €
529;0;0;"";0,00;0,00 €
530;1;0;"MENUS";0,00;0,00 €
531;1;1;"F. BONNE AFFAIRE";0,00;0,00 €
532;2;1;"Total Net";69,00;959,10 €
533;2;1;" dont Ventes";69,00;959,10 €
534;2;1;"Total Annulations";1,00;13,90 €
535;2;1;"Total Modification Note";4,00;55,60 €
536;0;0;"";0,00;0,00 €
537;1;1;"F. COMPLETE";0,00;0,00 €
538;2;1;"Total Net";62,00;1388,80 €
539;2;1;" dont Ventes";62,00;1388,80 €
540;2;1;"Total Perte";1,00;22,40 €
541;2;1;"Total Avoir Ticket";1,00;22,40 €
542;2;1;"Total Modification Note";15,00;336,00 €
543;0;0;"";0,00;0,00 €
544;1;1;"F. DESSERT";0,00;0,00 €
545;2;1;"Total Net";5,00;23,00 €
546;2;1;" dont Ventes";5,00;23,00 €
547;2;1;"Total Modification Note";2,00;9,20 €
548;0;0;"";0,00;0,00 €
549;1;1;"F. DU GRILLADIN SANS ALCOOL";0,00;0,00 €
550;2;1;"Total Net";5,00;63,50 €
551;2;1;" dont Ventes";5,00;63,50 €
552;0;0;"";0,00;0,00 €
553;1;1;"F. ENFANTS";0,00;0,00 €
554;2;1;"Total Net";153,00;1007,82 €
555;2;1;"Total Brut";153,00;1009,80 €
556;2;1;" dont Ventes";150,00;1007,82 €
557;2;1;" dont Remises";3,00;1,98 €
558;2;1;"Total Annulations";2,00;13,20 €
559;2;1;"Total Perte";7,00;46,20 €
560;2;1;"Total Avoir Ticket";6,00;39,60 €
561;2;1;"Total Modification Note";36,00;237,60 €
562;0;0;"";0,00;0,00 €
563;1;1;"F. GOURMANDE";0,00;0,00 €
564;2;1;"Total Net";18,00;568,80 €
565;2;1;" dont Ventes";18,00;568,80 €
566;2;1;"Total Perte";1,00;31,60 €
567;2;1;"Total Avoir Ticket";2,00;63,20 €
568;2;1;"Total Modification Note";4,00;126,40 €
569;0;0;"";0,00;0,00 €
570;1;1;"F. HALLES E+P";0,00;0,00 €
571;2;1;"Total Net";58,00;1023,49 €
572;2;1;"Total Brut";58,00;1032,40 €
573;2;1;" dont Ventes";53,00;1023,49 €
574;2;1;" dont Remises";5,00;8,91 €
575;2;1;"Total Avoir Ticket";1,00;17,80 €
576;2;1;"Total Modification Note";17,00;302,60 €
577;0;0;"";0,00;0,00 €
